"from_date","emp_no","last_name","first_name","gender","salary"
"1986-06-26",10001,"Facello","Georgi","M",60117
"1986-12-01",10004,"Koblick","Chirstian","M",40054
"1986-02-26",10066,"Schusler","Kwee","M",69736
"1986-10-30",10081,"Rosen","Zhongwei","M",55786
"1986-03-14",10090,"Hofting","Kendra","M",44978
"1986-08-22",10110,"Ullian","Xuejia","F",46836
"1986-12-17",10268,"Siochi","Nishit","M",41017
"1986-11-16",10150,"Perng","Zhenbing","F",70122
"1986-01-27",10152,"Munro","Jaques","F",40000
"1986-12-06",10168,"Stassinopoulos","Dharmaraja","M",51818
"1986-05-23",10271,"Eastman","Sham","M",53680
"1986-01-02",10170,"Jenevein","Kasturi","F",47183
"1986-10-19",10276,"Hempstead","Xuejun","M",40000
"1986-05-28",10297,"Oaver","Narain","F",63061
"1986-03-01",10185,"Sidhu","Duro","F",68334
"1986-07-22",10302,"Baer","Faiza","F",58239
"1986-08-28",10312,"Deyuan","Rasiah","F",56705
"1986-06-23",10190,"Fairtlough","Arve","F",40000
"1986-04-10",10191,"Nastansky","Zdislav","M",40000
"1986-01-16",10314,"Apsitis","Christfried","M",51939
"1986-01-20",10329,"Shigei","Remko","F",51664
"1986-10-29",10331,"Binkley","Arto","M",55800
"1986-10-23",10361,"Sidou","Seshu","F",64213
"1986-05-12",10217,"Roison","Yongmin","F",40000
"1986-06-08",10222,"Nourani","Tze","M",40000
"1986-01-16",10384,"Luft","Feiyu","M",43270
"1986-06-07",10243,"Pouyioutas","Wonhee","M",59332
"1986-01-11",10396,"Rahier","Sibyl","M",40393
"1986-12-12",10522,"Cesareni","Marke","F",40000
"1986-02-28",10541,"Eiter","Godehard","M",50741
"1986-07-04",10548,"Gunderson","Ramalingam","M",90631
"1986-06-16",10570,"Morrin","Alassane","M",80145
"1986-02-17",10584,"Papastamatiou","Mana","M",66898
"1986-04-09",10590,"Kalloufi","Yongqiao","M",51930
"1986-05-18",10532,"Wossner","Mary","F",87468
"1986-05-25",10608,"Talmor","Adhemar","F",40000
"1986-04-13",10688,"Lanphier","Xiaopeng","F",88410
"1986-01-08",10693,"Daescu","Berhard","F",40000
"1986-10-27",10701,"Zolotykh","Hyuncheol","M",74949
"1986-07-15",10625,"Petereit","Leszek","F",59732
"1986-02-02",10709,"Mateescu","Jiafu","F",40000
