"first_name","last_name","xstring"
"Hercules","Benzmuller","B"
"Hercules","Brendel","B"
"Hercules","Baranowski","B"
"Hercules","Barreiro","B"
"Hercules","Baer","B"
"Hercules","Bernardinello","B"
"Hercules","Basagni","B"
"Hercules","Biran","B"
"Hercules","Bisiani","B"
"Hercules","Bernatsky","B"
"Hercules","Bail","B"
"Hercules","Birge","B"
"Hercules","Biron","B"
"Hercules","Bodoff","B"
"Hercules","Bain","B"
"Hercules","Buchter","B"
"Hercules","Baak","B"
"Hercules","Bahr","B"
"Hercules","Berstel","B"
"Hercules","Benantar","B"
